Tue May 19 19:40:51 2026    profile

         3485717 function calls (3017295 primitive calls) in 111.181 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2500    0.008    0.000    0.015    0.000 /home/will/.local/lib/python3.10/site-packages/torch/autograd/grad_mode.py:184(__init__)
   187198    0.014    0.000    0.014    0.000 {function _ParameterMeta.__instancecheck__ at 0x71d9fad6e4d0}
     2945    0.008    0.000    0.014    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/builtin_interfaces/msg/_time.py:72(__init__)
      981    0.009    0.000    0.014    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/std_msgs/msg/_bool.py:69(__init__)
      981    0.005    0.000    0.013    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/executors.py:79(__exit__)
        1    0.000    0.000    0.013    0.013 /opt/ros/humble/local/lib/python3.10/dist-packages/rosidl_parser/parser.py:1(<module>)
      118    0.013    0.000    0.013    0.000 {method 'copy_' of 'torch._C.StorageBase' objects}
        1    0.000    0.000    0.013    0.013 /usr/lib/python3/dist-packages/lark/__init__.py:1(<module>)
7952/7947    0.006    0.000    0.012    0.000 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     7876    0.004    0.000    0.011    0.000 {built-in method builtins.all}
    17658    0.007    0.000    0.011    0.000 /home/will/.local/lib/python3.10/site-packages/torch/backends/__init__.py:41(__get__)
        4    0.000    0.000    0.011    0.003 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/conv.py:1133(__init__)
        4    0.000    0.000    0.011    0.003 /home/will/.local/lib/python3.10/site-packages/torch/nn/modules/conv.py:739(__init__)
       31    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:950(get_code)
    10831    0.010    0.000    0.011    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/callback_groups.py:101(can_execute)
      981    0.011    0.000    0.011    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/cv_bridge/core.py:95(encoding_to_cvtype2)
    29486    0.010    0.000    0.010    0.000 {method 'dim' of 'torch._C.TensorBase' objects}
     1250    0.004    0.000    0.010    0.000 /home/will/.local/lib/python3.10/site-packages/torch/autograd/grad_mode.py:80(__enter__)
     1964    0.010    0.000    0.010    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/guard_condition.py:32(trigger)
      981    0.009    0.000    0.009    0.000 {method 'squeeze' of 'torch._C.TensorBase' objects}
      981    0.006    0.000    0.009    0.000 /opt/ros/humble/local/lib/python3.10/dist-packages/rclpy/task.py:121(set_result)
